Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-09-18 09:27:54,false,"New York Running","2.00","199","00:17:49","164","178","3.1","172","178","8:53","8:14","21","33","1.05","0.0","0.0","0.0","0.0","0.0","17:49","0:00","0.0","0:00","No","00:01.90","3","0.0"
Running,2020-09-16 08:34:55,false,"New York Running","2.00","196","00:17:43","163","179","3.1","173","180","8:50","8:04","35","38","1.05","0.0","0.0","0.0","0.0","0.0","17:43","0:00","0.0","0:00","No","00:01.83","3","0.0"
Running,2020-09-14 07:48:21,false,"New York Running","2.01","196","00:18:15","160","175","3.0","171","180","9:06","8:20","30","36","1.03","0.0","0.0","0.0","0.0","0.0","18:15","0:00","0.0","0:00","No","00:02.73","3","0.0"
Running,2020-09-12 07:42:48,false,"New York Running","2.01","197","00:18:13","161","176","3.0","171","178","9:05","8:27","20","33","1.04","0.0","0.0","0.0","0.0","0.0","18:13","0:00","0.0","0:00","No","00:03.86","3","0.0"
Running,2020-09-10 10:11:04,false,"New York Running","2.01","198","00:18:13","163","182","3.1","172","178","9:05","8:27","22","33","1.03","0.0","0.0","0.0","0.0","0.0","18:13","0:00","0.0","0:00","No","00:02.64","3","0.0"
Running,2020-09-08 07:16:17,false,"New York Running","2.01","193","00:18:12","161","187","3.1","171","176","9:04","8:11","21","33","1.04","0.0","0.0","0.0","0.0","0.0","18:12","0:00","0.0","0:00","No","00:02.97","3","0.0"
Running,2020-09-06 07:16:08,false,"New York Running","2.01","195","00:18:46","159","179","3.1","170","178","9:21","8:29","30","36","1.01","0.0","0.0","0.0","0.0","0.0","18:46","0:00","0.0","0:00","No","00:02.63","3","0.0"
Running,2020-09-01 07:26:20,false,"New York Running","2.00","202","00:19:17","160","178","3.1","172","180","9:37","8:43","12","33","0.97","0.0","0.0","0.0","0.0","0.0","19:17","0:00","0.0","0:00","No","00:02.35","3","0.0"
Running,2020-08-29 09:25:28,false,"New York Running","3.00","313","00:28:10","169","188","3.8","173","181","9:23","8:21","53","57","0.99","0.0","0.0","0.0","0.0","0.0","28:10","0:00","0.0","0:00","No","00:02.12","4","0.0"
Running,2020-08-27 07:09:28,false,"New York Running","2.00","213","00:19:56","162","179","3.2","172","243","9:56","7:50","20","33","0.94","0.0","0.0","0.0","0.0","0.0","19:56","0:00","0.0","0:00","No","00:03.07","3","0.0"
Running,2020-08-25 07:00:50,false,"New York Running","2.00","211","00:20:03","158","165","3.1","171","178","10:00","9:01","22","33","0.94","0.0","0.0","0.0","0.0","0.0","20:03","0:00","0.0","0:00","No","00:02.01","3","0.0"
Running,2020-08-22 06:41:18,false,"New York Running","2.51","266","00:23:58","167","186","3.6","173","180","9:33","8:49","27","40","0.97","0.0","0.0","0.0","0.0","0.0","23:58","0:00","0.0","0:00","No","04:50.87","3","0.0"
